sentence,label_name,label_ID,language
"$50,000 per entry",Economic,1.0,en
Cheap labor is actually costly for U.S.,Economic,1.0,en
"""They are good people who contribute to both economies.""",Economic,1.0,en
"Two weeks ago, the family learned it would get some help paying bills. More than $ 20,000 was raised to help the Sarics.",Economic,1.0,en
"Yet because of the strong economy, many unskilled native workers have acquired skills and risen to better jobs.",Economic,1.0,en
Safety checks at Mexican border take toll on 2 cities' economies,Economic,1.0,en
"And that has created a lucrative market for cemeteries eager to cater to Chinese immigrants willing to pay $ 2,000 to $ 10,000 for good burial plots.",Economic,1.0,en
"The city lost an estimated 100,000 jobs after the attacks.",Economic,1.0,en
"""Quite a few family take the paycheck, go straight to the casino, and come home with nothing,""",Economic,1.0,en
Migrant workers sue citrus company for wages,Economic,1.0,en
IT TAKES A CITY (AND A LOT OF HARD WORK) TO ATTRACT IMMIGRANTS,Capacity and Resources,2.0,en
Staff Shortage Lengthening Dulles Airport Passport Lines,Capacity and Resources,2.0,en
"A shortage of Immigration and Naturalization Service agents at Dulles International Airport has led to longer-than-usual waits at passport control for arriving international passengers, airport and INS officials said.",Capacity and Resources,2.0,en
"At times in the past two months, passengers have waited so long during 90-minute stopovers that they have missed connections with domestic flights, an airline representative said. Arriving passengers also have been held on their planes or on the airport's mobile lounges until the crowded immigration area cleared out.",Capacity and Resources,2.0,en
Census estimates a doubling of illegal immigrants in '90s,Capacity and Resources,2.0,en
"Report: U.S. relies heavily on illegal workers; Half on farm, 25% in home, 10% in eateries",Capacity and Resources,2.0,en
"Immigrants With Skills
",Capacity and Resources,2.0,en
"The total number of immigrants and refugees admitted into this country (now 800,000 a year) will almost certainly be reduced by Congress.",Capacity and Resources,2.0,en
"But because the total will be smaller, the actual number of spots for skilled workers will go down from the present 140,000 a year to something in the 75,000 to 100,000 range.
",Capacity and Resources,2.0,en
"On the U.S. end, if immigration must be controlled, quality - not quantity - should be the determining factor.",Capacity and Resources,2.0,en
"DUTY, HONOR, BUT WHERE'S THE COUNTRY?",Morality,3.0,en
"FROM MEXICANS WHO EMIGRATED, WORKS OF ART THAT ILLUSTRATE FAITH PAINTINGS SHOW THE TRIALS OF THOSE WHO LEFT HOME FOR THE U.S.",Morality,3.0,en
"The insatiable appetite for more power by those who already have it is always justified by 'necessity.' """,Morality,3.0,en
"As the Bible says (Leviticus 19:34): ""You shall treat the alien who resides with you no differently than the natives born among you; have the same love for him as for yourself; for you too were once aliens in the land of Egypt.""",Morality,3.0,en
The news of Bishop José Gomez's departure saddened and surprised Denver's Catholic Latino community Wednesday.,Morality,3.0,en
WOMEN OF VALOR TRIO FIGHTS LENDERS WHO PREY ON THE UNDOCUMENTED,Morality,3.0,en
"""I read a book, and my heart accepted,"" Ahmadshah said. ""I believe that this is the book that says the truth.""",Morality,3.0,en
"REFUGEES RENEW CHURCH KAREN IMMIGRANTS FROM MYANMAR, THE FORMER BURMA, ARE GETTING HELP FROM; AND GIVING BACK TO -- DOWNTOWN BAPTISTS.",Morality,3.0,en
"They have drawn support from the church and infused new life into it, said the Rev. Loren McLean, associate pastor. The Karen (pronounced cur-REN) have helped the church stay downtown when it looked like its dwindling membership would force it to move, McLean said.
",Morality,3.0,en
BROOKLYN BISHOP GIVES ASSIST TO IMMIGRANTS,Morality,3.0,en
"Perhaps there is a third way, one that supports the Bush plan while addressing the fairness issue",Fairness and Equality,4.0,en
But critics say immigrants in particular face new dangers from the proposals that they say parallel the treatment of Japanese in this country during the 1940's.,Fairness and Equality,4.0,en
"""I don't want to feel that I can't have the kind of freedom of expression we guarantee to everyone,"" said El-Wafi, whose family begged her to modify her appearance.",Fairness and Equality,4.0,en
"Arab, Muslim Men to Get Tougher U.S. Visa Screening",Fairness and Equality,4.0,en
"On the other hand, this nation is a nation of legal immigrants. When the politicians use the weak section of society as the scapegoat for all the ills of the nation, it is a very dangerous phenomenon.",Fairness and Equality,4.0,en
